"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
1;"2021-08-16 14:07:32";2,04019;0;0;0
2;"2021-08-16 14:07:32.5";3,2869;0,0165;0,0123;0,04043
3;"2021-08-16 14:07:33";3,86556;0,0268;0,02546;0,09842
4;"2021-08-16 14:07:33.5";4,1612;0,0449;0,0552;0,22969
5;"2021-08-16 14:07:34";4,22567;0,0339;0,03622;0,15305
6;"2021-08-16 14:07:34.5";4,5355;0,0249;0,0228;0,10342
7;"2021-08-16 14:07:35";5,04695;0,0278;0,0269;0,13576
8;"2021-08-16 14:07:35.5";5,45573;0,0433;0,05227;0,2852
9;"2021-08-16 14:07:36";5,36806;0;0;0
10;"2021-08-16 14:07:36.5";5,20293;0,0258;0,02405;0,12513
11;"2021-08-16 14:07:37";5,27224;0,0358;0,0393;0,20722
12;"2021-08-16 14:07:37.5";5,46488;0,0592;0,08355;0,45658
13;"2021-08-16 14:07:38";5,59924;0,0703;0,1081;0,60525
14;"2021-08-16 14:07:38.5";5,76585;0,0705;0,10856;0,62592
15;"2021-08-16 14:07:39";5,90365;0,0693;0,1058;0,6246
16;"2021-08-16 14:07:39.5";6,05517;0,0588;0,0827;0,50078
17;"2021-08-16 14:07:40";6,12739;0,0647;0,09545;0,58485
18;"2021-08-16 14:07:40.5";6,12176;0,0688;0,10466;0,64068
19;"2021-08-16 14:07:41";6,05047;0,0658;0,09789;0,59229
20;"2021-08-16 14:07:41.5";5,99018;0,0893;0,15471;0,92674
21;"2021-08-16 14:07:42";6,03767;0,0698;0,10695;0,6457
22;"2021-08-16 14:07:42.5";6,25431;0,0612;0,08781;0,54922
23;"2021-08-16 14:07:43";6,5103;0,1013;0,18689;1,21668
24;"2021-08-16 14:07:43.5";6,7404;0,1359;0,29024;1,95631
25;"2021-08-16 14:07:44";6,74045;0,1932;0,49151;3,31303
26;"2021-08-16 14:07:44.5";6,52141;0,2311;0,64263;4,19088
27;"2021-08-16 14:07:45";6,2605;0,781;3,95725;24,77435
28;"2021-08-16 14:07:45.5";6,09226;0,842;4,42541;26,96077
29;"2021-08-16 14:07:46";6,16838;0,819;4,24692;26,19662
30;"2021-08-16 14:07:46.5";6,27675;0,807;4,15474;26,07825
31;"2021-08-16 14:07:47";6,24995;0,823;4,27779;26,73601
32;"2021-08-16 14:07:47.5";6,16266;0,817;4,23151;26,07736
33;"2021-08-16 14:07:48";6,12042;0,802;4,11652;25,19482
34;"2021-08-16 14:07:48.5";6,14105;0,783;3,97233;24,39428
35;"2021-08-16 14:07:49";6,22052;1,207;7,51473;46,74552
36;"2021-08-16 14:07:49.5";6,35501;1,207;7,51473;47,75621
37;"2021-08-16 14:07:50";6,40204;1,19;7,36598;47,15732
38;"2021-08-16 14:07:50.5";6,15389;1,184;7,31348;45,00637
39;"2021-08-16 14:07:51";5,73977;1,206;7,50598;43,0826
40;"2021-08-16 14:07:51.5";5,48918;1,21;7,54098;41,39382
41;"2021-08-16 14:07:52";5,67913;1,218;7,61098;43,22372
42;"2021-08-16 14:07:52.5";5,92381;1,243;7,82973;46,38183
43;"2021-08-16 14:07:53";5,91032;1,278;8,13598;48,08622
44;"2021-08-16 14:07:53.5";5,88724;1,28;8,15348;48,00153
45;"2021-08-16 14:07:54";5,98249;1,254;7,92598;47,41709
46;"2021-08-16 14:07:54.5";6,11484;1,254;7,92598;48,46611
47;"2021-08-16 14:07:55";6,14265;1,232;7,73348;47,50409
48;"2021-08-16 14:07:55.5";6,06052;1,229;7,70723;46,70982
49;"2021-08-16 14:07:56";5,92531;1,235;7,75973;45,97882
50;"2021-08-16 14:07:56.5";5,76473;1,237;7,77723;44,83363
51;"2021-08-16 14:07:57";5,70868;1,23;7,71598;44,04808
52;"2021-08-16 14:07:57.5";5,76247;1,21;7,54098;43,45465
53;"2021-08-16 14:07:58";5,87812;1,186;7,33098;43,09237
54;"2021-08-16 14:07:58.5";5,96765;1,183;7,30473;43,59208
55;"2021-08-16 14:07:59";5,93383;1,182;7,29598;43,2931
56;"2021-08-16 14:07:59.5";5,82882;1,186;7,33098;42,73097
57;"2021-08-16 14:08:00";5,74155;1,167;7,16473;41,13665
58;"2021-08-16 14:08:00.5";5,63504;1,177;7,25223;40,86658
59;"2021-08-16 14:08:01";5,57561;1,179;7,26973;40,53318
60;"2021-08-16 14:08:01.5";5,60067;1,219;7,61973;42,67558
61;"2021-08-16 14:08:02";5,69407;1,133;6,86723;39,10246
62;"2021-08-16 14:08:02.5";5,75394;1,133;6,86723;39,51365
63;"2021-08-16 14:08:03";5,70622;1,211;7,54973;43,08042
64;"2021-08-16 14:08:03.5";5,64016;1,21;7,54098;42,53232
65;"2021-08-16 14:08:04";5,63168;1,213;7,56723;42,61622
66;"2021-08-16 14:08:04.5";5,61736;1,231;7,72473;43,39256
67;"2021-08-16 14:08:05";5,57233;1,226;7,68098;42,80093
68;"2021-08-16 14:08:05.5";5,4828;1,216;7,59348;41,63351
69;"2021-08-16 14:08:06";5,40709;1,219;7,61973;41,20058
70;"2021-08-16 14:08:06.5";5,34961;1,191;7,37473;39,4519
71;"2021-08-16 14:08:07";5,34246;1,189;7,35723;39,30569
72;"2021-08-16 14:08:07.5";5,32746;1,2;7,45348;39,70814
73;"2021-08-16 14:08:08";5,29781;1,193;7,39223;39,16264
74;"2021-08-16 14:08:08.5";5,29389;1,157;7,07723;37,46606
75;"2021-08-16 14:08:09";5,34866;1,043;6,08113;32,52592
76;"2021-08-16 14:08:09.5";5,49597;1,05;6,14174;33,75484
77;"2021-08-16 14:08:10";5,60898;1,112;6,68348;37,48749
